text,author_id,conversation_id,created_at,source,tweet_id,geo_id,retweet_count,reply_count,like_count,quote_count,in_reply_to_user_id,referenced_type,referenced_id
"@_todesacocheio amiga mas ele tá fazendo algumas coisas certas em relação ao COVID, desde cedo... não? 😳",246102297,1369382975717130248,2021-03-09 20:29:58,Twitter for iPhone,1369384991424184322,894146230dd1d42d,0.0,1.0,1.0,0.0,748398284608266240,replied_to,1369383330274287621
"@paula_menezess HAHAHAHAAAHAAHAH meu deeeussss muito possível de isso acontecer né 😂😂😂 sai COVID, quero ver os gostosos do bom fim",246102297,1380917977500028929,2021-04-10 16:20:51,Twitter for iPhone,1380918710181978114,894146230dd1d42d,0.0,1.0,1.0,0.0,,replied_to,1380917977500028929
"Tão querendo estragar meus planos né

mas não vão conseguir

eu vou pro Rio mesmo que EU seja o corona vírus 

""Rio de Janeiro tem terceiro caso de coronavírus confirmado"" #Coronavirus https://t.co/6stfVGZSIi",246102297,1236773054686138368,2020-03-08 21:57:29,Twitter for Android,1236773054686138368,bacb72e48bb40ebe,0.0,0.0,0.0,0.0,,,
@_nuneshelle só cuida com o corona,246102297,1266196616777732096,2020-05-29 03:20:32,Twitter for Android,1266207771000700928,894146230dd1d42d,0.0,1.0,0.0,0.0,,replied_to,1266205445246660615
"nesse momento saboreando o prazer de estar viva e poder tomar uma coquinha bem gelada

(aproveitar enquanto n morro de corona vírus pq estou espirrando e com dor de garganta :)",246102297,1236828791026126850,2020-03-09 01:41:04,Twitter for Android,1236829324306677764,894146230dd1d42d,0.0,0.0,0.0,0.0,,replied_to,1236828791026126850
"Todos os caminhos hoje levam pro sofá da sala 

pq infelizmente esse vírus impede que os caminhos nos levem pra arena 🥺🥺🥺",246102297,1366114352714121218,2021-02-28 19:53:37,Twitter for iPhone,1366114352714121218,894146230dd1d42d,0.0,0.0,3.0,0.0,437824506,,
@iameveb_ meu amor 💙💙💙 vou chorar de sdd SE SAIA COVID,246102297,1277132690119155713,2020-06-28 07:06:38,Twitter for Android,1277136307073036288,894146230dd1d42d,0.0,0.0,0.0,0.0,,replied_to,1277136065011343361
"@juliaapedroso_ amuuuu!! Sai corona, quero matar aula pra beber cerveja em boteco do centro com a ju",246102297,1285663234297671682,2020-07-21 20:01:05,Twitter for Android,1285666123892088837,894146230dd1d42d,0.0,0.0,0.0,0.0,,replied_to,1285664774609678337
@cuckwitter vou mandar pra tua casa vai chegar aí cheio de coronga,246102297,1246148638193090561,2020-04-03 18:55:44,Twitter for Android,1246149402982518786,894146230dd1d42d,0.0,1.0,0.0,0.0,,replied_to,1246149274196414464
"Todos os caminhos hoje levam pro sofá da sala 

pq infelizmente esse vírus impede que os caminhos nos levem pra arena 🥺🥺🥺",246102297,1366114352714121218,2021-02-28 19:53:37,Twitter for iPhone,1366114352714121218,894146230dd1d42d,0.0,0.0,3.0,0.0,,,
"Mentira, eu pensava em duas coisas

A segunda é: BEM QUE PODIA SER A DO COVID NE",246102297,1277746983063687169,2020-06-29 23:33:42,Twitter for Android,1277747099501764609,894146230dd1d42d,0.0,0.0,0.0,0.0,246102297,replied_to,1277746983063687169
@xmirandale PAREM DE PEGAR CORONA é isso.,246102297,1252961828679962625,2020-04-22 17:13:47,Twitter for Android,1253009116953481217,894146230dd1d42d,0.0,0.0,0.0,0.0,,replied_to,1252989126720307200
"me deu uma saudade de ver jogo do @Gremio na arena....... 

bah que ódio esse bicho desgraçado desse covid",246102297,1276264760099713025,2020-06-25 21:23:25,Twitter for Android,1276264760099713025,894146230dd1d42d,0.0,0.0,1.0,0.0,,,
@iameveb_ meu amor 💙💙💙 vou chorar de sdd SE SAIA COVID,246102297,1277132690119155713,2020-06-28 07:06:38,Twitter for Android,1277136307073036288,894146230dd1d42d,0.0,0.0,0.0,0.0,1138124884222128128,replied_to,1277136065011343361
"meu pai olha pra esse homem e diz: ""olha lá, o Covid-19"" https://t.co/iJ4LXiHKEV",246102297,1253784798088265728,2020-04-24 20:36:04,Twitter for Android,1253784798088265728,894146230dd1d42d,0.0,0.0,4.0,0.0,,,
"meu pai olha pra esse homem e diz: ""olha lá, o Covid-19"" https://t.co/iJ4LXiHKEV",246102297,1253784798088265728,2020-04-24 20:36:04,Twitter for Android,1253784798088265728,894146230dd1d42d,0.0,0.0,4.0,0.0,138154594,,
"@radioactivegf ela tbm teve COVID guria, pode deitar a vontade 

🗣🗣🗣",246102297,1380244755381157890,2021-04-08 20:15:35,Twitter for iPhone,1380253009305821185,894146230dd1d42d,0.0,1.0,1.0,0.0,259833164,replied_to,1380244755381157890
"@lauraderenji pois eu não acredito??????? ah não....Parem de ter corona, quero saber das fofocah",246102297,1270170979097088000,2020-06-09 01:55:29,Twitter for Android,1270172635742310401,894146230dd1d42d,0.0,0.0,1.0,0.0,,replied_to,1270172344330399744
"@DaianaAlberti @alexandrascm_ Capazz guria, temos tanta sorte que o vírus nem chegou perto de nós na viagem 😂😂 foi aqui mesmo 🥲",246102297,1373351751336800260,2021-03-21 00:29:28,Twitter for iPhone,1373431530542993408,894146230dd1d42d,0.0,1.0,1.0,0.0,,replied_to,1373431143660408838
"@biacstc Devo essa a ti amiga, se n fosse por ti eu n teria me curado do COVID, pq eu n teria pego 🗣🗣🗣🗣🗣🗣

TE AMO",246102297,1376518069523259400,2021-03-29 13:09:55,Twitter for iPhone,1376522007303557124,894146230dd1d42d,1.0,1.0,2.0,0.0,762786918086180864,replied_to,1376521725677031429
@paulo_walmeida Simmmm e estão fazendo do Covid um oportunismo seja no espectro político como no televisivo..,128326101,1244747647757570049,2020-03-30 22:27:41,Twitter for Android,1244753190773493760,ed74cc748183253a,0.0,1.0,1.0,0.0,,replied_to,1244749796646273024
"Bolsonaro dando entrevista pro Siqueira no Alerta Nacional, minimizando os riscos do Covid, dizendo que todo mundo vai pegar e   colocando a culpa na imprensa.
Usando a ""facada"" como imunidade.
Nem sei pq fico surpresa",128326101,1244745725797335040,2020-03-30 21:58:01,Twitter for Android,1244745725797335040,ed74cc748183253a,0.0,0.0,1.0,0.0,,,
"Bom se a imunidade de quem pegou covid pode baixar com 3 meses, eu vou saber agora pq tem exatos 3 meses que peguei essa bomba !!",128326101,1283194976910954497,2020-07-15 00:21:37,Twitter for Android,1283194976910954497,ed74cc748183253a,0.0,0.0,2.0,0.0,,,
"Extra fui contemplada não sei se estou com covid , gripe ou os dois 
🥴",128326101,1484648687594881031,2022-01-21 22:06:45,Twitter for Android,1484648687594881031,ed74cc748183253a,0.0,3.0,1.0,0.0,,,
BOLSONARO COM COVID É ISSO MESMO????????,128326101,1280269177585098753,2020-07-06 22:35:32,Twitter for Android,1280269177585098753,f3587bc643e7d7b8,0.0,0.0,2.0,0.0,1058117495687729153,,
"Sabe o que eu acho muito ruim em meio a esse surto de gripe, covid?
E que já emitiram uma nota remarcando o início das aulas pra outra semana por conta desses surtos.
E o povo tranquilamente nos blocos na festas, viajando e a educação é sempre em último plano.",128326101,1485465522443587587,2022-01-24 04:12:33,Twitter for Android,1485465522443587587,ed74cc748183253a,0.0,0.0,1.0,0.0,1081341581314150400,,
"Parem de romantizar essa porra de vídeo "" era pra ser só 15 dias de covid"".",128326101,1425292691005480964,2021-08-11 03:07:12,Twitter for Android,1425292691005480964,ed74cc748183253a,0.0,0.0,0.0,0.0,39848402,,
"Sabe o que eu acho muito ruim em meio a esse surto de gripe, covid?
E que já emitiram uma nota remarcando o início das aulas pra outra semana por conta desses surtos.
E o povo tranquilamente nos blocos na festas, viajando e a educação é sempre em último plano.",128326101,1485465522443587587,2022-01-24 04:12:33,Twitter for Android,1485465522443587587,ed74cc748183253a,0.0,0.0,1.0,0.0,,,
"Infelizmente essas pessoas não terão parentes jogados em portas de pronto socorro, são pessoas que terão o melhor atendimento possível pois são ricas e famosas. 
O maior problema  desse país não é o Corona é a desigualdade e a ""lacração"" em cima dessa doença.",128326101,1254476392911253512,2020-04-26 18:27:01,Twitter for Android,1254477097357193218,ed74cc748183253a,0.0,1.0,1.0,0.0,,replied_to,1254476392911253512
